Sl.No.,HOLIDAYS,DATE,KARNATAKA,TAMIL NADU & KERALA,ANDHRA & TELANGANA,NORTHERN REGION,WESTERN REGION,EASTERN REGIONN
1,Makara Sankranti,15-01-2020,H,H,H,NA,NA,NA
2,Republic Day,26-01-2020,H,H,H,H,H,H
3,Holi / Dhuli Vandan,9/3/2020,NA,NA,NA,H,H,H
4,Ugadi,25-03-2020,H,NA,NA,NA,NA,NA
5,Good Friday,10/4/2020,H,H,H,H,H,H
6,May Day,1/5/2020,H,H,H,H,H,H
7,Independence day,15-08-2020,H,H,H,H,H,H
8,Ganesh Chaturthi,22-08-2020,H,H,H,H,H,H
9,Onam,31-08-2020,NA,H,NA,NA,NA,NA
10,Gandhi Jayanthi,2/10/2020,H,H,H,H,H,H
11,Dussehra/Vijayadashmi,26-10-2020,H,H,H,H,H,H
12,Kannada Rajyothsava,1/11/2020,H,NA,NA,NA,NA,NA
13,Deepavali / Diwali,16-11-2020,H,H,H,H,H,H
14,Christmas,25-12-2020,H,H,H,H,H,H
15,Makara Sankranti,14-01-2021,H,H,H,NA,NA,NA
16,Republic Day,26-01-2021,H,H,H,H,H,H
17,Good Friday,2/4/2021,H,NA,NA,H,H,H
18,Ugadi,13-04-2021,H,NA,NA,NA,NA,NA
19,May Day,1/5/2021,H,H,H,H,H,H
20,Independence day,15-08-2021,H,H,H,H,H,H
21,Ganesh Chaturthi,10/9/2021,H,H,H,H,H,H
22,Gandhi Jayanthi,2/10/2021,H,H,H,H,H,H
23,Dussehra/Vijayadashmi,15-10-2021,H,H,H,H,H,H
24,Kannada Rajyothsava,1/11/2021,H,NA,NA,NA,NA,NA
25,Deepavali / Diwali,5/11/2021,H,H,H,H,H,H
26,Christmas,25-12-2021,H,H,H,H,H,H
